id,lat,lng,street_count,geometry
3396,22.5247722,113.9246647,3,POINT (113.9246647 22.5247722)
3397,22.5252225,113.9259968,3,POINT (113.9259968 22.5252225)
3398,22.5169087,113.9396999,4,POINT (113.9396999 22.5169087)
3399,22.5168798,113.9398289,3,POINT (113.9398289 22.5168798)
3400,22.5206083,113.9406899,4,POINT (113.9406899 22.5206083)
3401,22.5239903,113.9426543,3,POINT (113.9426543 22.5239903)
3402,22.5181058,113.9482477,3,POINT (113.9482477 22.5181058)
3403,22.5188383,113.9457561,3,POINT (113.9457561 22.5188383)
3404,22.5218022,113.9359972,4,POINT (113.9359972 22.5218022)
3405,22.5185496,113.9477947,3,POINT (113.9477947 22.5185496)
3406,22.5236203,113.9412503,3,POINT (113.9412503 22.5236203)
3407,22.5205691,113.9408135,4,POINT (113.9408135 22.5205691)
3408,22.5178279,113.924184,3,POINT (113.924184 22.5178279)
3409,22.5156221,113.9275425,3,POINT (113.9275425 22.5156221)
3410,22.5131389,113.9235008,4,POINT (113.9235008 22.5131389)
3411,22.5155835,113.9239716,4,POINT (113.9239716 22.5155835)
3412,22.5311886,113.9137295,4,POINT (113.9137295 22.5311886)
3413,22.5179865,113.9277437,4,POINT (113.9277437 22.5179865)
3414,22.5178759,113.9275598,4,POINT (113.9275598 22.5178759)
3415,22.5180033,113.927566,4,POINT (113.927566 22.5180033)
3416,22.5178631,113.9277395,4,POINT (113.9277395 22.5178631)
3417,22.5179615,113.9251175,3,POINT (113.9251175 22.5179615)
3418,22.5211807,113.9173511,4,POINT (113.9173511 22.5211807)
3419,22.5179362,113.9221962,4,POINT (113.9221962 22.5179362)
3420,22.5194246,113.9200013,3,POINT (113.9200013 22.5194246)
3421,22.5180081,113.9220299,4,POINT (113.9220299 22.5180081)
3422,22.5351644,113.9102683,4,POINT (113.9102683 22.5351644)
3423,22.5222648,113.9087933,4,POINT (113.9087933 22.5222648)
3424,22.5166235,113.9037855,4,POINT (113.9037855 22.5166235)
3425,22.518186,113.9097888,3,POINT (113.9097888 22.518186)
3426,22.5184444,113.910211,3,POINT (113.910211 22.5184444)
3427,22.5250209,113.9148059,3,POINT (113.9148059 22.5250209)
3428,22.5150172,113.9084734,4,POINT (113.9084734 22.5150172)
3429,22.5197531,113.9124593,3,POINT (113.9124593 22.5197531)
3430,22.5187661,113.9010813,4,POINT (113.9010813 22.5187661)
3431,22.5153131,113.9111093,4,POINT (113.9111093 22.5153131)
3432,22.5151406,113.9101015,3,POINT (113.9101015 22.5151406)
3433,22.5162804,113.904083,3,POINT (113.904083 22.5162804)
3434,22.5152658,113.9111039,4,POINT (113.9111039 22.5152658)
3435,22.5165461,113.9037121,4,POINT (113.9037121 22.5165461)
3436,22.5166276,113.903615,4,POINT (113.903615 22.5166276)
3437,22.5354647,113.9142481,4,POINT (113.9142481 22.5354647)
3438,22.5353562,113.9231558,4,POINT (113.9231558 22.5353562)
3439,22.5350849,113.9048763,4,POINT (113.9048763 22.5350849)
3440,22.5354426,113.9198518,4,POINT (113.9198518 22.5354426)
3441,22.5354297,113.9268202,4,POINT (113.9268202 22.5354297)
3442,22.5353303,113.9199904,4,POINT (113.9199904 22.5353303)
3443,22.5353333,113.9198479,4,POINT (113.9198479 22.5353333)
3444,22.5354678,113.916223,4,POINT (113.916223 22.5354678)
3445,22.5354543,113.9273086,3,POINT (113.9273086 22.5354543)
3446,22.5383496,113.910189,3,POINT (113.910189 22.5383496)
3447,22.5353125,113.9104219,4,POINT (113.9104219 22.5353125)
3448,22.544012,113.9097166,3,POINT (113.9097166 22.544012)
3449,22.5438461,113.9099011,3,POINT (113.9099011 22.5438461)
3450,22.5396944,113.910143,3,POINT (113.910143 22.5396944)
3451,22.5353061,113.9102673,4,POINT (113.9102673 22.5353061)
3452,22.5434189,113.9155398,4,POINT (113.9155398 22.5434189)
3453,22.5354683,113.9143522,4,POINT (113.9143522 22.5354683)
3454,22.5389079,113.9148102,4,POINT (113.9148102 22.5389079)
3455,22.5355791,113.9142683,4,POINT (113.9142683 22.5355791)
3456,22.5355846,113.9143721,4,POINT (113.9143721 22.5355846)
3457,22.5432708,113.91557,4,POINT (113.91557 22.5432708)
3458,22.5432938,113.9154525,4,POINT (113.9154525 22.5432938)
3459,22.5463476,113.9273285,3,POINT (113.9273285 22.5463476)
3460,22.5489815,113.9283746,3,POINT (113.9283746 22.5489815)
3461,22.5495837,113.9285371,3,POINT (113.9285371 22.5495837)
3462,22.5499343,113.9416059,3,POINT (113.9416059 22.5499343)
3463,22.5486754,113.9439892,3,POINT (113.9439892 22.5486754)
3464,22.5471899,113.9424455,3,POINT (113.9424455 22.5471899)
3465,22.5505662,113.9488882,6,POINT (113.9488882 22.5505662)
3466,22.5505077,113.9460046,4,POINT (113.9460046 22.5505077)
3467,22.5225815,113.9280597,3,POINT (113.9280597 22.5225815)
3468,22.5290139,113.9244421,3,POINT (113.9244421 22.5290139)
3469,22.5293334,113.9242838,3,POINT (113.9242838 22.5293334)
3470,22.5550829,113.9230218,4,POINT (113.9230218 22.5550829)
3471,22.6141842,114.0602549,1,POINT (114.0602549 22.6141842)
3472,22.625975,114.1354178,3,POINT (114.1354178 22.625975)
3473,22.6260589,114.1355707,3,POINT (114.1355707 22.6260589)
3474,22.6212336,114.1374247,4,POINT (114.1374247 22.6212336)
3475,22.6242025,114.1360725,3,POINT (114.1360725 22.6242025)
3476,22.6213889,114.1371695,4,POINT (114.1371695 22.6213889)
3477,22.6156166,114.1226688,3,POINT (114.1226688 22.6156166)
3478,22.6112526,114.1252658,3,POINT (114.1252658 22.6112526)
3479,22.6112328,114.1251491,4,POINT (114.1251491 22.6112328)
3480,22.6112984,114.125196,3,POINT (114.125196 22.6112984)
3481,22.6111857,114.1252081,4,POINT (114.1252081 22.6111857)
3482,22.5240467,113.928414,3,POINT (113.928414 22.5240467)
3483,22.5256068,113.9293704,3,POINT (113.9293704 22.5256068)
3484,22.5254293,113.9289171,3,POINT (113.9289171 22.5254293)
3485,22.7902573,113.8678057,3,POINT (113.8678057 22.7902573)
3486,22.7675752,113.8836665,3,POINT (113.8836665 22.7675752)
3487,22.8214795,113.8832599,3,POINT (113.8832599 22.8214795)
3488,22.7681446,113.8682155,4,POINT (113.8682155 22.7681446)
3489,22.7725471,113.9025738,4,POINT (113.9025738 22.7725471)
3490,22.7676588,113.882946,3,POINT (113.882946 22.7676588)
3491,22.722765,113.8849078,4,POINT (113.8849078 22.722765)
3492,22.7344859,113.848508,3,POINT (113.848508 22.7344859)
3493,22.7867509,113.8703607,3,POINT (113.8703607 22.7867509)
3494,22.7227751,113.8851326,4,POINT (113.8851326 22.7227751)
3495,22.7225845,113.885066,4,POINT (113.885066 22.7225845)
3496,22.7225655,113.8848381,4,POINT (113.8848381 22.7225655)
3497,22.7722438,113.843131,3,POINT (113.843131 22.7722438)
3498,22.7157126,113.8862321,4,POINT (113.8862321 22.7157126)
3499,22.6733572,113.8865093,3,POINT (113.8865093 22.6733572)
3500,22.6744986,113.8887085,3,POINT (113.8887085 22.6744986)
3501,22.6739333,113.8876651,4,POINT (113.8876651 22.6739333)
3502,22.6742769,113.8876555,3,POINT (113.8876555 22.6742769)
3503,22.6744613,113.8879304,3,POINT (113.8879304 22.6744613)
3504,22.7780091,113.8537659,3,POINT (113.8537659 22.7780091)
3505,22.7158401,113.8861914,4,POINT (113.8861914 22.7158401)
3506,22.7810831,113.8849897,4,POINT (113.8849897 22.7810831)
3507,22.7865086,113.871496,4,POINT (113.871496 22.7865086)
3508,22.7217534,113.902409,3,POINT (113.902409 22.7217534)
3509,22.7157369,113.8861091,4,POINT (113.8861091 22.7157369)
3510,22.721744,113.9025361,3,POINT (113.9025361 22.721744)
3511,22.7771126,113.8536304,3,POINT (113.8536304 22.7771126)
3512,22.7393168,113.846679,3,POINT (113.846679 22.7393168)
3513,22.7684811,113.8551173,4,POINT (113.8551173 22.7684811)
3514,22.7683675,113.8551271,4,POINT (113.8551271 22.7683675)
3515,22.7584645,113.8741134,4,POINT (113.8741134 22.7584645)
3516,22.7633272,113.8551969,3,POINT (113.8551969 22.7633272)
3517,22.7517213,113.8539005,3,POINT (113.8539005 22.7517213)
3518,22.7382707,113.8484377,3,POINT (113.8484377 22.7382707)
3519,22.7683775,113.8549647,4,POINT (113.8549647 22.7683775)
3520,22.7511174,113.8536669,3,POINT (113.8536669 22.7511174)
3521,22.7472003,113.8404836,3,POINT (113.8404836 22.7472003)
3522,22.7605402,113.8639201,4,POINT (113.8639201 22.7605402)
3523,22.7475221,113.8520496,4,POINT (113.8520496 22.7475221)
3524,22.7473322,113.8519658,4,POINT (113.8519658 22.7473322)
3525,22.825628,113.8812263,3,POINT (113.8812263 22.825628)
3526,22.7679655,113.8641815,4,POINT (113.8641815 22.7679655)
3527,22.7475198,113.8522113,4,POINT (113.8522113 22.7475198)
3528,22.8248642,113.878018,3,POINT (113.878018 22.8248642)
3529,22.7471788,113.8621682,3,POINT (113.8621682 22.7471788)
3530,22.7680942,113.8641877,3,POINT (113.8641877 22.7680942)
3531,22.7680956,113.863983,3,POINT (113.863983 22.7680956)
3532,22.8213383,113.8830761,3,POINT (113.8830761 22.8213383)
3533,22.8254076,113.8799982,3,POINT (113.8799982 22.8254076)
3534,22.8242046,113.8760697,3,POINT (113.8760697 22.8242046)
3535,22.7679671,113.8639828,4,POINT (113.8639828 22.7679671)
3536,22.7473304,113.8521199,4,POINT (113.8521199 22.7473304)
3537,22.760505,113.8640958,4,POINT (113.8640958 22.760505)
3538,22.7474281,113.8619927,4,POINT (113.8619927 22.7474281)
3539,22.8123886,113.8713587,3,POINT (113.8713587 22.8123886)
3540,22.8305676,113.8755663,3,POINT (113.8755663 22.8305676)
3541,22.8287643,113.876723,3,POINT (113.876723 22.8287643)
3542,22.8238323,113.8754361,3,POINT (113.8754361 22.8238323)
3543,22.832217,113.8737497,3,POINT (113.8737497 22.832217)
3544,22.8080557,113.8641431,4,POINT (113.8641431 22.8080557)
3545,22.583594,113.9535664,3,POINT (113.9535664 22.583594)
3546,22.5484317,114.1295432,4,POINT (114.1295432 22.5484317)
3547,22.5478184,114.1258074,4,POINT (114.1258074 22.5478184)
3548,22.5460788,114.1151214,3,POINT (114.1151214 22.5460788)
